t_GNSS,Lat,Lon,Alt,v_E,v_N,v_U
17.50000000,0.68907512,-0.00601178,3619.50242860,0.15710152,0.05638851,566.89796751
17.60000000,0.68907517,-0.00601155,3677.82488308,0.13158259,-0.02114092,571.60511300
17.70000000,0.68907546,-0.00601120,3727.03987977,0.16346234,-0.14796746,576.26161408
17.80000000,0.68907507,-0.00601116,3793.93162691,0.12646372,-0.03662704,580.56220367
17.90000000,0.68907467,-0.00601018,3848.32649963,0.21688844,0.07368396,585.22331625
18.00000000,0.68907603,-0.00601198,3908.21768891,-0.15952929,-0.17688704,589.85899307
18.10000000,0.68907580,-0.00601061,3964.17750824,0.19620199,0.01429321,594.12857781
18.20000000,0.68907480,-0.00601075,4021.18812978,-0.00941815,-0.01646117,598.44248593
18.30000000,0.68907539,-0.00601118,4089.76946607,0.09604228,-0.17074952,602.87268209
18.40000000,0.68907485,-0.00601036,4149.21810746,0.05319998,0.02223317,607.46153443
18.50000000,0.68907550,-0.00601138,4207.41729224,0.04375598,-0.03234918,612.08523611
18.60000000,0.68907495,-0.00601186,4266.81714293,-0.03011508,0.03837990,616.41980225
18.70000000,0.68907539,-0.00601099,4329.72359864,-0.04555952,0.10807459,620.84481028
18.80000000,0.68907480,-0.00601110,4387.31195535,0.03383104,0.07719466,625.27563961
18.90000000,0.68907633,-0.00601172,4450.99260171,0.10895781,0.01064032,629.45814850
19.00000000,0.68907704,-0.00601141,4524.46079321,0.03328842,-0.07104624,634.74560094
19.10000000,0.68907522,-0.00601110,4584.74759956,-0.05973998,-0.01552018,639.01503981
19.20000000,0.68907494,-0.00601191,4645.00382175,-0.06308525,0.05487043,643.75885831
19.30000000,0.68907551,-0.00601191,4713.69448433,0.05660306,-0.00040131,647.90992701
19.40000000,0.68907431,-0.00601063,4782.05612213,-0.04720171,0.05965438,652.55997949
19.50000000,0.68907550,-0.00601169,4845.13449795,-0.05902265,0.04312815,657.08450501
19.60000000,0.68907664,-0.00601110,4912.30659119,-0.05984949,0.00769806,662.00600708
19.70000000,0.68907454,-0.00601181,4976.93267341,0.09301748,-0.07529380,665.80474886
19.80000000,0.68907530,-0.00601108,5038.44733570,-0.12828058,0.06660356,670.13951689
19.90000000,0.68907452,-0.00600988,5110.83070264,-0.00698305,-0.06907152,674.97253470
20.00000000,0.68907588,-0.00601048,5170.51178408,0.12650250,-0.07004551,679.37012057
20.10000000,0.68907499,-0.00601066,5244.71675849,0.06467279,0.08108169,684.03745999
20.20000000,0.68907496,-0.00601076,5312.14890755,-0.05482339,-0.01691538,688.35421146
20.30000000,0.68907469,-0.00601069,5390.04583030,-0.00241707,0.17862331,692.98395013
20.40000000,0.68907447,-0.00600981,5455.02830216,0.10138285,0.00655705,697.53373961
20.50000000,0.68907503,-0.00601148,5524.09884274,0.01690332,-0.01308191,701.77790554
20.60000000,0.68907428,-0.00601035,5600.70433832,-0.13573532,-0.05111892,706.37788527
20.70000000,0.68907601,-0.00601116,5670.47109658,0.03935371,0.12707803,710.95699951
20.80000000,0.68907541,-0.00600986,5739.02099483,-0.10549000,-0.00783799,715.56288955
20.90000000,0.68907545,-0.00601087,5813.53599306,0.11220487,0.00450643,720.11803389
21.00000000,0.68907529,-0.00601180,5883.41305779,-0.01468726,0.13531353,724.95351882
21.10000000,0.68907450,-0.00601099,5959.90156786,0.07719902,-0.08693391,728.96014391
21.20000000,0.68907655,-0.00601092,6025.93292424,0.01248370,0.06328600,733.36548577
21.30000000,0.68907518,-0.00601206,6103.60389204,0.04825404,-0.06419358,737.96044325
21.40000000,0.68907526,-0.00601135,6179.09680821,-0.25195345,-0.04457608,742.63362596
21.50000000,0.68907469,-0.00601078,6253.54880793,-0.15436791,-0.05680380,746.46823890
21.60000000,0.68907607,-0.00600981,6324.90520334,-0.09473091,0.08738393,751.21985830
21.70000000,0.68907435,-0.00600959,6397.62352689,-0.07448025,0.05991342,756.01639356
21.80000000,0.68907459,-0.00601102,6484.13512124,0.00960565,0.12767195,760.43900927
21.90000000,0.68907598,-0.00601037,6551.11179110,0.05498524,0.02178876,764.83226615
22.00000000,0.68907539,-0.00601143,6636.10152130,0.06964316,0.04953655,769.64370296
22.10000000,0.68907426,-0.00601031,6713.93368365,-0.01319160,-0.01820153,773.79114954
22.20000000,0.68907531,-0.00601163,6783.25128199,0.05127147,0.04463780,778.65323813
22.30000000,0.68907562,-0.00601066,6864.39515081,-0.16301367,0.13349432,782.94039848
22.40000000,0.68907544,-0.00601141,6939.09696339,0.01270009,0.02701680,787.70160255
